"year","month","lon5","lat5","mean.pred1"
1969,4,182.5,-32.5,0.000288268834454768
1969,4,187.5,-47.5,1.29593581979631
1969,5,-17.5,-42.5,18.1911521877836
1969,5,-17.5,-37.5,6.41009709732801
1969,5,-12.5,-47.5,15.2980768920516
1969,5,-12.5,-42.5,26.8408674615364
1969,5,-12.5,-37.5,6.55806231184017
1969,5,-7.5,-47.5,15.7467991319867
1969,5,-7.5,-42.5,21.9760202537021
1969,5,-7.5,-37.5,4.39331536498307
1969,5,-2.5,-47.5,12.8568631411118
1969,5,-2.5,-42.5,16.2426764182852
1969,5,-2.5,-37.5,1.96675649054913
1969,5,2.5,-47.5,12.3663078295108
1969,5,2.5,-42.5,13.6848059676686
1969,5,2.5,-37.5,0.758996940978674
1969,5,7.5,-47.5,12.8731524377932
1969,5,7.5,-42.5,13.2239512290796
1969,5,7.5,-37.5,0.55229502861262
1969,5,12.5,-47.5,10.9410847296376
1969,5,12.5,-42.5,12.4563796876751
1969,5,12.5,-37.5,0.296198723344211
1969,5,17.5,-47.5,7.41642582139345
1969,5,17.5,-42.5,10.6000728941064
1969,5,17.5,-37.5,0.105004011583975
1969,5,22.5,-47.5,5.66535182413673
1969,5,22.5,-42.5,8.61365350048955
1969,5,22.5,-37.5,0.222818769414639
1969,5,27.5,-47.5,6.03355066486548
1969,5,27.5,-42.5,7.2690552387449
1969,5,27.5,-37.5,1.18118065685311
1969,5,32.5,-47.5,7.22362993121231
1969,5,32.5,-42.5,7.25861057163029
1969,5,32.5,-37.5,2.52095803647529
1969,5,37.5,-47.5,8.14122032544206
1969,5,37.5,-42.5,9.29749757476063
1969,5,37.5,-37.5,2.18128165929992
1969,5,42.5,-47.5,8.67853919635341
1969,5,42.5,-42.5,12.5105266569994
1969,5,42.5,-37.5,1.21627753188264
1969,5,47.5,-47.5,9.01691051324997
1969,5,47.5,-42.5,13.755698910501
1969,5,47.5,-37.5,0.866745556258578
1969,5,52.5,-42.5,12.6874472999861
1969,5,52.5,-37.5,1.68229162203075
1969,5,57.5,-47.5,8.56688772014294
1969,5,57.5,-42.5,11.5864243093337
1969,5,57.5,-37.5,1.69349266743792
1969,5,62.5,-47.5,7.62903723968016
1969,5,62.5,-42.5,11.0984856156919
1969,5,67.5,-47.5,6.99878357050446
1969,5,67.5,-42.5,10.657829924405
1969,5,67.5,-37.5,0.53178082044569
1969,5,72.5,-47.5,6.61476148759909
1969,5,72.5,-42.5,9.91822892799914
1969,5,72.5,-37.5,1.84002056933593
1969,5,77.5,-47.5,5.78605501940762
1969,5,77.5,-42.5,8.88170074002927
1969,5,82.5,-47.5,4.53889155608862
1969,5,82.5,-42.5,7.87633267708939
1969,5,82.5,-37.5,3.56715710533845
1969,5,87.5,-47.5,3.98495589566264
1969,5,87.5,-42.5,7.82678115723556
1969,5,87.5,-37.5,3.53407981455602
1969,5,92.5,-42.5,9.42784284335945
1969,5,92.5,-37.5,2.99788222348154
1969,5,97.5,-47.5,5.80278219495984
1969,5,97.5,-42.5,10.5805895033745
1969,5,97.5,-37.5,2.07929757014054
1969,5,102.5,-47.5,5.14899816376554
1969,5,102.5,-42.5,7.97102407253416
1969,5,102.5,-37.5,1.02990291738082
1969,5,107.5,-47.5,3.88250528553286
1969,5,107.5,-42.5,5.15959577886293
1969,5,107.5,-37.5,0.505961796396798
1969,5,112.5,-42.5,5.11674633182499
1969,5,112.5,-37.5,0.508324917054937
1969,5,117.5,-47.5,5.79839570138739
1969,5,117.5,-42.5,7.75723012897307
1969,5,117.5,-37.5,1.21434857177128
1969,5,122.5,-47.5,7.76647105096422
1969,5,122.5,-42.5,9.61675126391082
1969,5,122.5,-37.5,3.20887304430755
1969,5,127.5,-47.5,7.69649709830535
1969,5,127.5,-42.5,7.53884165463251
1969,5,127.5,-37.5,5.46920592154266
1969,5,132.5,-47.5,7.07340905075648
1969,5,132.5,-42.5,6.10598078558643
1969,5,132.5,-37.5,7.41564393286779
1969,5,137.5,-47.5,7.31620703547957
1969,5,137.5,-42.5,7.44418881506166
1969,5,137.5,-37.5,8.41643782288438
1969,5,142.5,-47.5,7.81780931003762
1969,5,142.5,-42.5,10.152414931436
1969,5,142.5,-37.5,8.0363915699683
1969,5,147.5,-47.5,7.67123377953974
1969,5,147.5,-42.5,10.7419777473399
1969,5,147.5,-37.5,7.08272723834016
1969,5,152.5,-47.5,7.17282887014168
1969,5,152.5,-42.5,9.79223772833843
1969,5,152.5,-37.5,6.42271180513128
1969,5,152.5,-32.5,0.265216386744611
1969,5,157.5,-47.5,7.03364151299216
1969,5,157.5,-42.5,10.0609600466063
1969,5,157.5,-37.5,3.45101525170969
1969,5,157.5,-32.5,0.0753108372679495
1969,5,162.5,-47.5,7.31437386695652
1969,5,162.5,-42.5,11.2559111551359
1969,5,162.5,-37.5,0.525889970933704
1969,5,162.5,-32.5,0.00435922694259333
1969,5,167.5,-47.5,7.68275143048917
1969,5,167.5,-42.5,10.7584445586925
1969,5,167.5,-37.5,0.201527482286443
1969,5,167.5,-32.5,0.00157860172924521
1969,5,172.5,-47.5,7.84822749985501
1969,5,172.5,-42.5,8.54276759301636
1969,5,172.5,-37.5,0.850925652931104
1969,5,172.5,-32.5,0.00786510800557677
1969,5,177.5,-47.5,7.60797882001666
1969,5,177.5,-42.5,7.07032521260029
1969,5,177.5,-37.5,1.96602461577769
1969,5,177.5,-32.5,0.0267305889167876
1969,5,182.5,-47.5,6.76170296161251
